﻿type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,followers,wishlists_est,wishlist_rank,discovery_date
game,No Sheep Left Behind,3866700,Occasionally Fun Games,Occasionally Fun Games,,Single-player;Family Sharing,Action;Adventure;Casual;Indie;Early Access,https://store.steampowered.com/app/3866700,public_unreleased,full_details,False,September 2025,"No Sheep Left Behind, is a simple and casual game where you embody a valiant sheepdog on a procedural journey to gather and protect a growing flock of sheep. Enjoy the chill atmosphere and all the sheep bleats while you try to beat your top score.",English;Portuguese - Brazil,,,,2025-08-22
game,"ギャルと優等生と夏休み Gal, Geek and Summer",3899510,"CyberStep, Inc.;Rideon Works Co. Ltd,","CyberStep, Inc.",,Single-player;Family Sharing,Adventure;Simulation,https://store.steampowered.com/app/3899510,public_unreleased,full_details,False,Coming soon,"A lonely honor student, an outgoing gal, and me... an ordinary guy. More than friends, less than lovers, it's time to leave our youth behind.","*;, Korean, Icelandic, Irish, Afrikaans, Albanian, Igbo, Welsh, Uzbek, Estonian, Catalan, Galician, Xhosa, Scots, Swahili, Zulu, Sotho, Hausa, Basque, Maori, Malay, Latvian, Luxembourgish;*",,,,2025-08-22
game,Fitforce2,3932290,Runnex Technology,Runnex Technology,https://fitforce2.com,Single-player;Custom Volume Controls;Playable without Timed Input;Stereo Sound,Action;Casual;Indie;Sports;Free To Play,https://store.steampowered.com/app/3932290,public_unreleased,full_details,False,October 2025,"Blast calories in a sci-fi arcade of over 1,000 stages! Play action, puzzle, and reflex-based mini-games powered by your real-life moves. Master 12 workout exercises, track your progress, and turn fitness into an arcade experience— just with your smartphone camera.","*;, Thai;*",,,,2025-08-22
demo,Planetary Sim Demo,3965210,Corozo Collective;Valcion Games;Quesillo Studios,Corozo Collective,,Game demo;Adjustable Text Size;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Playable without Timed Input;Save Anytime;Stereo Sound,,https://store.steampowered.com/app/3965210,public_unreleased,full_details,False,Coming soon,"This DEMO is not compatible with the final release, any change can be notified in futher versions!",,,,,2025-08-22
music,雑音系少年少女 Soundtrack,3866900,DankHearts,WhisperGames,,,,https://store.steampowered.com/app/3866900,public_unreleased,full_details,False,"Sep 16, 2025",This is the soundtrack of Type-NOISE: Shonen Shojo.,,,,,2025-08-22
game,Sovietwave,3965280,RewindApp,RewindApp,,Single-player;Steam Achievements;Full controller support;Steam Leaderboards;Family Sharing,Action;Casual;Indie;Racing;Simulation,https://store.steampowered.com/app/3965280,public_unreleased,full_details,False,2025,SOVIETWAVE is an atmospheric arcade driving game set in a retro-futuristic world inspired by the Soviet space dream...,English;French;Russian,,,,2025-08-22
music,The Grass Reaper Soundtrack,3965300,Canary Yellow Games,Canary Yellow Games,,Additional High-Quality Audio,,https://store.steampowered.com/app/3965300,public_unreleased,full_details,False,Coming soon,"Due to the specifications of the game engine, the music is played in a fixed order, and some parts have been cut. Also, the game's sound effects are extremely loud, so you probably won't have time to listen to the music. If you buy the soundtrack, you can listen to our music whenever you want.",,,,,2025-08-22
game,Shroom Knights,3015030,Attaining Games,Attaining Games,,Single-player;Steam Achievements;Full controller support;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Strategy,https://store.steampowered.com/app/3015030,public_unreleased,full_details,False,Coming soon,"Raise brave Shroom Knights to protect the Sacred Spring and hold the line against the swarming evil bugs. Under your wise and mighty command, the knights will channel the primal forces of nature within them, unleashing devastating power. Your Majesty, raise your staff—your kingdom needs you!",English;French;German;Spanish - Spain;Japanese;Portuguese - Brazil;Russian;Simplified Chinese,,,,2025-08-22
game,Store It!,3801520,Two Pixels UG,Two Pixels UG,,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Playable without Timed Input;Save Anytime;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing,Casual;Indie;Simulation,https://store.steampowered.com/app/3801520,public_unreleased,full_details,False,"Aug 29, 2025","Store things, earn money with it and improve your warehouse! You play a small, cute robot who uses his Gravity-Gun to take care of his customers' belongings, but be careful not to break anything!","*;, German;*;*",,,,2025-08-22
dlc,Type-NOISE: Shonen Shojo DESIGN WORKS,3867050,DankHearts,,https://www.zatsuonkei.com/,Single-player;Downloadable Content;Custom Volume Controls;Keyboard Only Option;Mouse Only Option;Playable without Timed Input;Save Anytime;Subtitle Options,Adventure;Casual;RPG,https://store.steampowered.com/app/3867050,public_unreleased,full_details,False,"Sep 17, 2025","This is the digital art book for Type-NOISE: Shonen Shojo. It includes PDF files in four languages: Japanese, English, Simplified Chinese, and Traditional Chinese.",Japanese;English;Simplified Chinese;Traditional Chinese,,,,2025-08-22
