type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url
dlc,不祥之夜：回魂 - 兔女郎,3849210,Bug Inventors,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849210/787cfe460932774264c7bd12bd85f9f3e2b03705/header.jpg?t=1751511050,,Multi-player;PvP;Online PvP;Co-op;Online Co-op;Downloadable Content;Family Sharing,Action;Adventure;Casual;RPG;Strategy,https://store.steampowered.com/app/3849210
demo,The Left Eye Demo,3849590,Haunted Trumpet,Haunted Trumpet,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849590/f5eb91246f301d9c12204ca2b94f4353a5ca4832/header.jpg?t=1751552515,https://www.the-left-eye.com/,Single-player;Game demo;Adjustable Text Size;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime,,https://store.steampowered.com/app/3849590
game,Witch War 1,3849050,Nic Buzzanca,Nic Buzzanca,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849050/d91114153fe3ca0a53d28a206d74712a2da32578/header.jpg?t=1751468857,,Single-player;Multi-player;Co-op;Online Co-op;Custom Volume Controls;Playable without Timed Input;Save Anytime;Family Sharing,Action,https://store.steampowered.com/app/3849050
game,The Window 8:Millennium,3853120,AfterTee,AfterTee,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3853120/ff089be05143dcd3f7ed5122599ec055932b35a4/header.jpg?t=1751554467,,Single-player;Steam Achievements;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3853120
game,Master of 4 Swords,3850520,Don BASS,Don BASS ,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3850520/f6b87a7029f28fc82a3b690e237dd3794dbedd94/header.jpg?t=1751551558,,Single-player;Family Sharing,Adventure;Casual;Sports,https://store.steampowered.com/app/3850520
demo,Ms Vampire Love to Date with Me Demo,3854320,卢隆工作室,卢隆工作室,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3854320/2e2bafd828c526d42b4b5a172f01378527c78f2a/header.jpg?t=1751551684,,Single-player;Game demo,RPG,https://store.steampowered.com/app/3854320
dlc,Tyrano Studio - System UI Skin Plugin #1,3849250,STRIKEWORKS,STRIKEWORKS,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849250/9814cecb8299f1ca885d889e3b269bb0531815b1/header.jpg?t=1751527691,https://tyranoscript.com,Downloadable Content,Free To Play;Utilities;Game Development,https://store.steampowered.com/app/3849250
game,Barzakh: Star Gardener,3849950,Emirhan Güngörmez,Han Interactive Entertaiment,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849950/456d95e5cdddf112ef72795217569e2bb99a1d61/header.jpg?t=1751523843,https://barzakh.emirhangungormez.com/,Single-player;Full controller support;Camera Comfort;Custom Volume Controls;Save Anytime;Stereo Sound;Subtitle Options;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3849950
game,Pond,3849420,GameDevSpouse,PostHuman Interactive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849420/37ca25875a85c84c90e8ee04950c31de1221c025/header.jpg?t=1751472973,https://posthumaninteractive.com/,Single-player;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3849420
game,DoppelTest,3849320,ぬくもりロボット工房,ぬくもりロボット工房,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849320/33feeb99e50cef710f08e811b9b3ef359ad38de5/header.jpg?t=1751552896,,Single-player;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3849320
music,MoteMancer Soundtrack,3849110,CyanAvatar Studios,CyanAvatar Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849110/c8a37cf83860bed065393ae3e82e493ed8bdf346/header.jpg?t=1751533409,,,,https://store.steampowered.com/app/3849110
game,Urban Hunter,3849380,Pixel Hazard,Pixel Hazard,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849380/018155ecbdaf5c53535a47b93b251f2eafbd2970/header.jpg?t=1751542398,,Single-player;Family Sharing,Casual,https://store.steampowered.com/app/3849380
music,Sunken Stones Soundtrack,3849770,Spritewrench,Spritewrench,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849770/9c7728ffdbebe8024fd157d91228e3efbfb8d8d8/header.jpg?t=1751484385,,,,https://store.steampowered.com/app/3849770
demo,Abulia Demo,3852440,Burros Aburridos,Burros Aburridos,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3852440/1e9e2c7f70c4eca47e13d918c197d203b5747761/header.jpg?t=1751508715,,Single-player;Game demo,,https://store.steampowered.com/app/3852440
game,The Last Ski Trip,3852340,Fireplay Studio,Fireplay Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3852340/b7ab1f1828e2da5e1c8dbbea9adcf14fe5b28e65/header.jpg?t=1751558369,,Single-player;Steam Achievements;Camera Comfort;Keyboard Only Option;Mouse Only Option;Steam Cloud;Family Sharing,Adventure;Indie;RPG,https://store.steampowered.com/app/3852340
game,The Last Love Letter,3850120,Tamboril Studio,Tamboril Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3850120/2d3432201dbd81b32be2b7c83a0d6939c1d75a0a/header.jpg?t=1751550797,,Single-player;Steam Achievements;Full controller support;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3850120
