type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url,detection_stage,api_response_type,discovery_date
game,"Nirvana, Origin of Fate",3846280,Laurent Cancé,LCF Prods,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3846280/553e3f4b4995c4db5802de35abe7678d67b06478/header.jpg?t=1751782457,http://lcf.prods.free.fr/,Single-player;Partial Controller Support;Family Sharing,Action;Adventure;Casual;Indie;RPG,https://store.steampowered.com/app/3846280,public_unreleased,full_details,2025-07-06
demo,Midnight Shifts with Femboy Demo,3855490,icanfixthatgames,icanfixthatgames,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3855490/db767c95607f7497ad78bc9ccebb0a128e552751/header.jpg?t=1751774286,,Single-player;Game demo;Custom Volume Controls;Keyboard Only Option;Mouse Only Option;Narrated Game Menus;Save Anytime;Subtitle Options;Touch Only Option,,https://store.steampowered.com/app/3855490,public_unreleased,full_details,2025-07-06
game,Dwarf Boozter,3704330,iron cast flight,iron cast flight,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3704330/b4d9ac442ebea82abf5a0370cabe270bc28cc743/header.jpg?t=1751771905,,Single-player;Full controller support;Stereo Sound;Subtitle Options;Surround Sound;Family Sharing,Action;Indie,https://store.steampowered.com/app/3704330,public_unreleased,full_details,2025-07-06
game,Zero Pixel Dawn,3797770,LauMVP Studio;Vipra Studio;Andrew Patuasic,Victor Lau,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3797770/c51cadafc2e7bb956553d4a01ce3302d33db9cf3/header.jpg?t=1751768966,,Single-player;Steam Achievements;Family Sharing,Action,https://store.steampowered.com/app/3797770,public_unreleased,full_details,2025-07-06
game,Beyond Words,3823370,MindFuel Games,MindFuel Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3823370/967cc007469c97c046a689e8b855a2aef48fb555/header.jpg?t=1751822917,,Single-player;Steam Achievements;Full controller support;Camera Comfort;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Stereo Sound;Touch Only Option;Steam Cloud;Family Sharing,Casual;Indie;Strategy,https://store.steampowered.com/app/3823370,public_unreleased,full_details,2025-07-06
game,Astropark,3838350,studio soup,Studio Soup,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3838350/bfb8db40bb5719af4af3e880f520e1f08692cd45/header.jpg?t=1751747618,https://studiosoup.tv/projects.html#astropark,Single-player;Partial Controller Support;Family Sharing,Adventure;Indie;Simulation,https://store.steampowered.com/app/3838350,public_unreleased,full_details,2025-07-06
game,The Warrens,3779480,"Haunted Window, LLC","Haunted Window, LLC",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3779480/966da78d3356eb52da6f37637addfc3e9e6b294c/header.jpg?t=1751743166,https://hauntedwindow.com,Single-player;Full controller support;Camera Comfort;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Stereo Sound;Surround Sound;Family Sharing,Action;Indie,https://store.steampowered.com/app/3779480,public_unreleased,full_details,2025-07-06
game,Re:Call,3855000,Re:Start,Re:Start,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3855000/7c0a294d5106afbc13e4689c80873567db2de4b2/header.jpg?t=1751753533,,Single-player;Steam Achievements;Keyboard Only Option;Mouse Only Option;Save Anytime;Family Sharing,Adventure;Casual,https://store.steampowered.com/app/3855000,public_unreleased,full_details,2025-07-06
game,Ice Dodo,3782170,Onionfist,Onionfist,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3782170/a1c113b746d367ad8447e6c9c43736d8f280df3f/header.jpg?t=1751791932,https://onionfist.com,Single-player,Action;Adventure;Casual;Indie;Racing;Free To Play,https://store.steampowered.com/app/3782170,public_unreleased,full_details,2025-07-06
game,Space Supermarket Simulator,1841050,Mythforge Games,Mythforge Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1841050/2e383cd229ff44499decf07e8bb8f6b5215cc9fd/header.jpg?t=1751782188,,Single-player;Steam Achievements;Camera Comfort;Custom Volume Controls;Playable without Timed Input;Save Anytime;Family Sharing,Casual;Simulation,https://store.steampowered.com/app/1841050,public_unreleased,full_details,2025-07-06
