type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,discovery_date
game,The Yapori Show Maker,3852290,Hayllon,The Yapori Show,,,Casual;Design & Illustration;Photo Editing;Utilities,https://store.steampowered.com/app/3852290,public_unreleased,full_details,False,"Jul 22, 2025",The Yapori Show Maker is a story creation editor based on the animated series The Yapori Show.,English;Spanish - Spain;Portuguese - Brazil,2025-07-08
game,On the Way,3844110,LuMyst Games,LuMyst Games,https://youtube.com/@lumystgames?si=-RnxC0czUdyEn_8V,Single-player;Partial Controller Support;Family Sharing,Casual,https://store.steampowered.com/app/3844110,public_unreleased,full_details,False,To be announced,"In this Adventure you will embark on the search for a man. In classic Psychological Horror Gameplay in the First Person Perspective. You will encounter strange people, solve hard to crack puzzles and explore a world in which the Minds of People might drip into reality.",*;*,2025-07-08
game,Dark Runes: Forbidden Origin,3676190,暴风雨,暴风雨,,Single-player;Multi-player;Co-op;LAN Co-op;Steam Achievements;Camera Comfort;Custom Volume Controls;Keyboard Only Option;Save Anytime;Steam Cloud;Stats;Steam Leaderboards;Family Sharing,Action;Adventure;RPG,https://store.steampowered.com/app/3676190,public_unreleased,full_details,False,Coming soon,"Dark Runes: Forbidden Origin - A hardcore ARPG featuring versatile skill runes and classic Rune Words. The time has come to begin your looting legend! Every battle may drop loot that changes your fate, every rune combination can create new legends. Are you ready for the challenge?","*;, Traditional Chinese, Portuguese - Brazil, Vietnamese, Korean;*",2025-07-08
game,Titanic Rescue,3854380,Ledgerdary,Ledgerdary,,Single-player;Family Sharing,Adventure,https://store.steampowered.com/app/3854380,public_unreleased,full_details,False,July 2025,"Command the RMS Carpathia in 1912! Rescue Titanic survivors from icy waters, navigate treacherous icebergs, and deliver them to New York. Prepare for a challenging voyage through four distinct levels, each testing your navigation skills and resolve.",*;*,2025-07-08
game,Wind Tunnel Simulator,3620930,Magerux Game,Magerux Game,,Single-player;Mouse Only Option;Playable without Timed Input;Family Sharing,Simulation,https://store.steampowered.com/app/3620930,public_unreleased,full_details,False,To be announced,"Wind Tunnel Simulator is a creative physics sandbox game that combines intuitive 3D sculpting with realistic aerodynamic simulation. Design and test your own experimental shapes using clay-like modeling tools, then watch them come alive in a state-of-the-art virtual wind tunnel.",English,2025-07-08
game,Tales of Aradia: Idle RPG,3807280,AradiaStudios,AradiaStudios,https://www.aradiastudios.com/,Single-player,Adventure;Indie;RPG;Free To Play;Early Access,https://store.steampowered.com/app/3807280,public_unreleased,full_details,False,To be announced,"Tales of Aradia is an enchanting idle RPG that blends active and offline progression in a vibrant pixel-art world—harvest magical resources, master diverse skills, craft epic gear, and face mythical creatures as you uncover the secrets of a realm on the brink of darkness.",English,2025-07-08
game,Marble Drop,3852330,Nathan Beveridge;Mark Maxwell,BevMaxGames,,Single-player;Family Sharing,Indie,https://store.steampowered.com/app/3852330,public_unreleased,full_details,False,Coming soon,"A fast-paced, physics-driven platformer that’s as thrilling to play as it is to watch. Guide your marble through a vibrant world packed with twisting tracks, unpredictable obstacles, and clever contraptions designed to launch, bounce, or completely derail your run.",English,2025-07-08
game,Real Boxing 2: Remastered,3811350,Vivid Games S.A.,Untold Tales S. A.,,Single-player;Partial Controller Support;Steam Cloud;Family Sharing,Indie;Sports,https://store.steampowered.com/app/3811350,public_unreleased,full_details,False,Coming soon,"Take the fight to the next level with a remaster of award winning Real Boxing™ 2. Train hard, fight harder. Prove your worth in the career and multiplayer mode.",English,2025-07-08
game,The Depths Of My Guilt,3823670,The Ambitious Game Dev,The Ambitious Game Dev,,Single-player;Stereo Sound;Family Sharing,Adventure,https://store.steampowered.com/app/3823670,public_unreleased,full_details,False,August 2025,"Explore the deepest depths of the ocean as you survey the environment by recording audio and taking pictures. Collect fuel found on the mountains in these depths. Be carful though, you are not the only intelligent creature down here.",English,2025-07-08
game,Cubex,3760200,jomego76,GAMEZ-STUDIO,,Single-player;Multi-player;Co-op;Online Co-op;Family Sharing,Action;Adventure,https://store.steampowered.com/app/3760200,public_unreleased,full_details,False,Q2 2026,"Cubex is a horror escape room game in first person, collaborative (or not) for up to 4 players, where your objective will be to find the exit of a giant cube.",English;Spanish - Spain,2025-07-08
music,The Warrior - Official Soundtrack,3852360,ThornDuck,,,,,https://store.steampowered.com/app/3852360,public_unreleased,full_details,False,"Aug 1, 2025",The Warrior Official Soundtrack.,,2025-07-08
game,ZahmahreL,3854410,FarkasInteractive,FarkasInteractive,https://www.farkasinteractive.com/,Single-player;Steam Achievements;Camera Comfort;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Surround Sound;Partial Controller Support;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3854410,public_unreleased,full_details,False,Q3 2025,"As a YouTuber investigating supernatural events, explore the mysterious and terrifying happenings in an abandoned location. Your camera is your only ally, but can you uncover these dark secrets?","*;, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Japanese, Korean, Polish, Hungarian, Portuguese - Portugal, Russian, Turkish;*;, Ukrainian, Czech;*",2025-07-08
game,2 Bows 1 Arrow,3825740,SKL Games,SKL Games,,Multi-player;Co-op;Online Co-op;Steam Achievements;Camera Comfort;Custom Volume Controls;Save Anytime;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3825740,public_unreleased,full_details,False,To be announced,"2 Bows 1 Arrow is сoop action platforming puzzel FOR 2 PLAYERS ONLY! Challenge yourself and you friend with numerous levels that need coordination, problem solving and bow shooting skills. It more chelenging when you have only 1 arrow for both of you.",English;Ukrainian,2025-07-08
game,Bullet Buster Belle,3844170,Brain Buster,Brain Buster,,Single-player;Family Sharing,Action;Casual;Indie,https://store.steampowered.com/app/3844170,public_unreleased,full_details,False,To be announced,"&quot;Bullet Buster Belle&quot; is a Roguelite bullet-hell shooter game. Navigate bullet storms in cosmic ruins through daredevil grazing, build endless weapon/relic combos, and conquer formidable maiden guardians to claim their ultimate treasures!",*;*,2025-07-08
dlc,Tiny Garden - Summer Breeze Cosmetic Pack,3823710,Ao Norte,Super Rare Originals,https://aonorte.com,Single-player;Downloadable Content;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3823710,public_unreleased,full_details,False,"Jul 17, 2025",Dive into sun-soaked gameplay with the Summer Breeze DLC! ,"*;, Spanish - Spain;*;, French;*;, German;*;, Japanese;*;, Simplified Chinese;*;, Traditional Chinese;*;, Galician;*;, Korean;*;*",2025-07-08
game,Boundless,3825790,DMS. Long,Beijing Film Academy,,Single-player,Adventure;RPG;Strategy;Free To Play,https://store.steampowered.com/app/3825790,public_unreleased,full_details,False,Coming soon,"A 2.5D sci-fi platformer where you play as Shirley on a solo rescue mission. Unlock new abilities like jet-assisted jumps and magnetic powers to solve puzzles, avoid traps, and overcome enemy challenges. No microtransactions.",*;*,2025-07-08
game,Touhou Kouzougi　～ Flickerframe Shutter Festival,3829880,Ryann Thierry,Ryann Thierry,,Single-player;Full controller support;Custom Volume Controls;Keyboard Only Option;Stereo Sound;Steam Cloud;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3829880,public_unreleased,full_details,False,"Sep 5, 2025","A fan-made celebration of Touhou's creative spirit! When a suspicious festival erupts, Aya must photograph spellcards, unlock skills, and uncover hidden truths. Packed with loving references to fanworks both old and new, from all around the world!",English;Spanish - Spain;Japanese;Portuguese - Brazil;Simplified Chinese,2025-07-08
game,Dominated by: Yandere Goth Gamer Girl,3852410,Bully Revenge Studios,Bully Revenge Studios,,Single-player;Steam Achievements;Custom Volume Controls;Playable without Timed Input;Save Anytime;Family Sharing,Indie;Simulation,https://store.steampowered.com/app/3852410,public_unreleased,full_details,False,"Jul 18, 2025","Experience a sensual and cruel night as the slave of a 265cm tall, violent, abusive, sadistic, yandere goth gamer girl.",English;French;Italian;German;Spanish - Spain;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Indonesian;Japanese;Korean;Norwegian;Polish;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian;Vietnamese,2025-07-08
game,"Nirvana, Origin of Fate",3846280,Laurent Cancé,LCF Prods,http://lcf.prods.free.fr/,Single-player;Partial Controller Support;Family Sharing,Action;Adventure;Casual;Indie;RPG,https://store.steampowered.com/app/3846280,public_unreleased,full_details,False,"Jul 11, 2025","3rd person procedural survival 3D Game. The game allows you to simulate the character's survival needs and find meaning in adventure, and create a bond with the other characters in the game, to develop their ability to control the elements of the island.",*;*,2025-07-08
game,StacKit,3827850,3amSoo,Jungle Game Lab,,Single-player,Free To Play,https://store.steampowered.com/app/3827850,public_unreleased,full_details,False,July 2025,"Stackit is a turn-based puzzle of pure strategy. Load your gun in a precise order before you fight—this is your 'Stack'. Once in combat, your firing sequence is locked. Use Fire to strip armor, then hit with Corrosion to weaken foes and boost all other damage.",English;Korean;Japanese;Simplified Chinese,2025-07-08
game,Elgracia: A Kingdom's Chronicle,3707020,Gamsters Inc.,Gamsters Inc.,,Single-player;Family Sharing,RPG;Simulation;Strategy,https://store.steampowered.com/app/3707020,public_unreleased,full_details,False,Coming soon,Rescue the princess and rebuild a fallen kingdom. Elgracia: A Kingdom's Chronicle is a story-driven tactical SRPG with deep turn-based strategy.,"*;, Korean;*;*",2025-07-08
game,Warlords Battleground: Extraction,3684500,绝汪,绝汪,,Single-player;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3684500,public_unreleased,full_details,False,To be announced,『摸大红，改天命』像素骑砍+三国演义，摸金+撤离，全新概念的大战场、大世界国风“搜打撤”，动态自由大世界、刷宝升级、库存管理、动作群战、逆天改命……化身为拾薪者，与龙女缔结“共生契约”，穿越于历史碎片之中，搜索、交战、撤离！Q群：891541517,*;*,2025-07-08
game,Cleared For Impact,3616850,Blue Flare Games,Blue Flare Games,,Single-player;Steam Achievements;Full controller support;Camera Comfort;Custom Volume Controls;Keyboard Only Option;Save Anytime;Stereo Sound;Steam Cloud;Stats;Family Sharing,Action;Indie;Simulation,https://store.steampowered.com/app/3616850,public_unreleased,full_details,False,Coming soon,"Cleared for Impact is a 2D precision flying simulator. Navigate the depths of a hostile world, avoid obstacles, dodge lasers and rescue your crew!",*;*,2025-07-08
game,Lumber Valley,3563670,Dairycow22,Dairycow22,,Single-player;Family Sharing,Casual;Early Access,https://store.steampowered.com/app/3563670,public_unreleased,full_details,False,"Jul 19, 2025","Lumber Valley is a logging simulation game where you build and grow a logging business. Cut wood, process materials, and complete contracts to expand your operations. Unlock upgrades, automate production, and explore a quarry to uncover valuable resources while overcoming various challenges.",*;*,2025-07-08
music,Ink Reverie Soundtrack,3844250,Rolling Cat Studio,indienova,,,,https://store.steampowered.com/app/3844250,public_unreleased,full_details,False,"Jul 16, 2025","The original soundtrack of Ink Reverie features 20 Chinese-style tracks specially composed for the game, inviting you into a flowing scroll painted with melodies.",,2025-07-08
game,Hidden Cats in Istanbul,2906270,Nukearts Studio,Nukearts Studio,,Single-player;Steam Achievements;Full controller support;Camera Comfort;Color Alternatives;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Casual;Indie,https://store.steampowered.com/app/2906270,public_unreleased,full_details,False,To be announced,"Find hidden cats in the charming and historic city of Istanbul! Start with an uncolored scene and relax as you color the streets, explore landmarks, and meet special furry friends to collect unique cards. A cozy, family-friendly hidden object adventure full of charm and color!",English,2025-07-08
game,KUUKIYOMI: Consider It World - Thailand Ver.,3606690,Urnique Studio,G-MODE,,Single-player;Steam Achievements;Keyboard Only Option;Partial Controller Support;Steam Cloud;Family Sharing,Casual;Indie;Simulation,https://store.steampowered.com/app/3606690,public_unreleased,full_details,False,2025,"Introducing the New Title: “KUUKIYOMI: Consider It World”! This time, the stage is Thailand! Test your ability to read the room in familiar, everyday Thai scenarios, packed with cultural quirks and “That’s so true!” moments.",English;Thai;Japanese,2025-07-08
game,We Interns,3768550,Tranquil,Tranquil,,Single-player;Steam Achievements;Full controller support;Family Sharing,Action;Casual,https://store.steampowered.com/app/3768550,public_unreleased,full_details,False,Coming soon,"Top-down office themed roguelite. Fight off your annoying coworkers as one of many young interns and unlock different playable characters, permanent items and office spaces to fight in.",English;French;German;Spanish - Spain;Portuguese - Portugal,2025-07-08
game,Bone-Bound,3856590,Slug Fest Studios,Slug Fest Studios,,Single-player;Family Sharing,Casual;Indie;Strategy,https://store.steampowered.com/app/3856590,public_unreleased,full_details,False,To be announced,"Bone-Bound is a turn-based roguelite strategy game where you summon creatures, evolve cards, conquer castles, and build your deck across 12 species in lane-based combat with quests, fog of war, and castle upgrades.",*;*,2025-07-08
demo,Backrooms Multi-Verses Demo,3829980,Mirrion,Mirrion INC,,Single-player;Game demo;Full controller support,Action,https://store.steampowered.com/app/3829980,public_unreleased,full_details,False,Coming soon,"Survival horror with realistic graphics based on Unreal Engine 5. Ten highly detailed levels: liminal world, puzzles and creatures. New levels and content regularly. Experience unbearable horror and find a way to escape from...",English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Indonesian;Japanese;Korean;Norwegian;Polish;Portuguese - Brazil;Portuguese - Portugal;Romanian;Russian;Simplified Chinese;Spanish - Latin America;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian;Vietnamese;Afrikaans;Albanian;Amharic;Armenian;Assamese;Azerbaijani;Bangla;Basque;Belarusian;Bosnian;Catalan;Cherokee;Croatian;Dari;Estonian;Filipino;Galician;Georgian;Gujarati;Hausa;Hebrew;Hindi;Icelandic;Igbo;Irish;K'iche';Kannada;Kazakh;Khmer;Kinyarwanda;Konkani;Kyrgyz;Latvian;Lithuanian;Luxembourgish;Macedonian;Malay;Malayalam;Maltese;Maori;Marathi;Mongolian;Nepali;Odia;Persian;Punjabi (Gurmukhi);Punjabi (Shahmukhi);Quechua;Scots;Serbian;Sindhi;Sinhala;Slovak;Slovenian;Sorani;Sotho;Swahili;Tajik;Tamil;Tatar;Telugu;Tigrinya;Tswana;Turkmen;Urdu;Uyghur;Uzbek;Valencian;Welsh;Wolof;Xhosa;Yoruba;Zulu,2025-07-08
game,PILED 3D CAD MULTI TOOL,3565810,PILED,PILED,https://piledltd.co.uk/,,Animation & Modeling;Design & Illustration;Utilities,https://store.steampowered.com/app/3565810,public_unreleased,full_details,False,"Jul 22, 2025","Quickly create complex models then export as STEP, STL &amp; DXF. 3D print, CNC or laser cut your designs made by a wide variety of generators including grid, QR code, vase, living hinge and more.",English,2025-07-08
game,HEAT DEATH: Earth,3854580,Spacezero Interactive,Spacezero Interactive,,Single-player;Adjustable Difficulty;Playable without Timed Input;Save Anytime;Stereo Sound;Family Sharing,RPG;Simulation;Strategy;Early Access,https://store.steampowered.com/app/3854580,public_unreleased,full_details,False,Coming soon,"In the year 2200, Earth orbit is flooded with debris from constant warfare. Countries, megacorporations, and mercenaries are fighting for control. Take contracts, build your warfleets, and dominate the Earth-Luna system in this realism-focused strategy RPG!",*;*,2025-07-08
game,JuMi Local Intelligent Assistant,3838130,JuMi Customer Service,JuMi Customer Service,,,Accounting;Education;Web Publishing,https://store.steampowered.com/app/3838130,public_unreleased,full_details,False,Coming soon,"JuMi is a revolutionary desktop artificial intelligence assistant. Through an integrated reasoning framework, JuMi injects AI capabilities directly into your devices - without cloud dependencies, eliminating the risk of data breaches, and giving you absolute control over intelligent assistants.",English;Simplified Chinese,2025-07-08
game,Oppai Daisuki,3856660,GEENNA,entryC,,Single-player;Steam Achievements;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3856660,public_unreleased,full_details,False,Q3 2025,"A lewd jigsaw puzzle game featuring 20 uncensored hentai artworks, relaxing music, and achievements.",English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Indonesian;Japanese;Korean;Norwegian;Polish;Portuguese - Brazil;Portuguese - Portugal;Romanian;Russian;Simplified Chinese;Spanish - Latin America;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian;Vietnamese;Afrikaans;Albanian;Amharic;Armenian;Assamese;Azerbaijani;Bangla;Basque;Belarusian;Bosnian;Catalan;Cherokee;Croatian;Dari;Estonian;Filipino;Galician;Georgian;Gujarati;Hausa;Hebrew;Hindi;Icelandic;Igbo;Irish;K'iche';Kannada;Kazakh;Khmer;Kinyarwanda;Konkani;Kyrgyz;Latvian;Lithuanian;Luxembourgish;Macedonian;Malay;Malayalam;Maltese;Maori;Marathi;Mongolian;Nepali;Odia;Persian;Punjabi (Gurmukhi);Punjabi (Shahmukhi);Quechua;Scots;Serbian;Sindhi;Sinhala;Slovak;Slovenian;Sorani;Sotho;Swahili;Tajik;Tamil;Tatar;Telugu;Tigrinya;Tswana;Turkmen;Urdu;Uyghur;Uzbek;Valencian;Welsh;Wolof;Xhosa;Yoruba;Zulu,2025-07-08
game,ANOMONAUT,3414290,sprout,Sproutpack Studio,,Single-player;Full controller support,Action;Adventure;Indie;Free To Play,https://store.steampowered.com/app/3414290,public_unreleased,full_details,False,Q4 2025,"Fight for survival in ANOMONAUT, an experimental roguelike shooter where each player only has one chance--yes, for real!",English,2025-07-08
game,Straif,3850480,Pumped Software,Pumped Software,,Single-player;Multi-player;Co-op;Online Co-op,Action;Casual;Indie;Racing;Free To Play;Early Access,https://store.steampowered.com/app/3850480,public_unreleased,full_details,False,Coming soon,"Compete with players around the world in a fast-paced 3D platforming shooter. Race through a variety of hand crafted maps, shooting at targets with an arsenal of weapons, all to achieve the fastest time on the global leaderboard!",English,2025-07-08
game,Basilica,3627220,ToadLore,Toadlore,,Single-player;Multi-player;Co-op;Online Co-op;LAN Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Adjustable Text Size;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Save Anytime;Subtitle Options;Remote Play Together;Family Sharing,Action;Adventure;RPG,https://store.steampowered.com/app/3627220,public_unreleased,full_details,False,To be announced,"Explore an enchanted cathedral that calls to you. Grow stronger and wiser as you traverse through the ethereal. Collect and create items to navigate its ever-changing floors. Uncover its hidden secrets, and use the ancient wisdom of divinity to guide your way. Lose yourself, or find yourself.",*;*,2025-07-08
game,Rot Runner,3735850,XS2PULZ,X2P,,Single-player;Family Sharing,Action;Casual;Indie;Racing;Sports,https://store.steampowered.com/app/3735850,public_unreleased,full_details,False,2025,"A chaotic 2D pixel endless runner where you dodge your insecurities and summon weird AI monsters to help you outrun failure, doubt, and existential dread. Simple to control, wild to survive, and full of existential satire.",*;*,2025-07-08
game,A Sexy Tour With : Elsie,3850510,Hentai Panda,Hentai Panda,https://www.hentaipanda.games/,Single-player;Steam Achievements;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3850510,public_unreleased,full_details,False,"Aug 8, 2025","Embark on a titillating journey through the United Kingdom with Elsie, your alluring tour guide. This adults-only &quot;spot the differences&quot; game challenges your keen eye while rewarding your success with seductive reveals.",English;French;Italian;German;Spanish - Spain;Japanese;Korean;Portuguese - Brazil;Russian;Simplified Chinese,2025-07-08
music,Silent Tales‌: Vermilion Embers Original Sound Track,3856570,Hakua Juku,Hakua Juku,,,,https://store.steampowered.com/app/3856570,public_unreleased,full_details,False,Coming soon,"This is additional content for Silent Tales‌: Vermilion Embers, and it does not include the standard edition of the game.",,2025-07-08
game,Pitch and Arcade Simulator,3074280,Aysimus Games,Aysimus Games,,Single-player;Family Sharing,Casual;Simulation;Sports;Strategy;Early Access,https://store.steampowered.com/app/3074280,public_unreleased,full_details,False,Coming soon,"Manage a football pitch and arcade! Upgrade machines, attract players and build your ultimate fun center.",English;Turkish;French;Italian;German;Spanish - Spain;Simplified Chinese;Portuguese - Brazil;Japanese;Korean;Portuguese - Portugal;Russian,2025-07-08
game,Barfy's Adventure,3850530,barfy.net,barfy.net,,Single-player;Camera Comfort;Color Alternatives;Custom Volume Controls;Stereo Sound;Includes level editor,Action;Indie;Free To Play;Early Access,https://store.steampowered.com/app/3850530,public_unreleased,full_details,False,Coming soon,"Barfy's Adventure is a fast-paced platformer about collecting gears, dashing through enemies, switching gravity, and so much more!",English,2025-07-08
game,Lavabound,3823850,Martin Kolman;Hassan Riaz,Martin Kolman,,Single-player;Multi-player;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;In-App Purchases;Custom Volume Controls;Stereo Sound;Stats;Remote Play Together;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3823850,public_unreleased,full_details,False,Coming soon,Play alone or play together in this 'relaxed' and fun cooperative platformer. Can you collect all the treasures whilst navigating through different obstacles? And if this doesn't sound hard enough for you: Please be aware of the constant rising lava. Will you successfully escape the volcano?,*;*,2025-07-08
game,PLACE,3823800,PimpGameStudio,PimpGameStudio,https://x.com/PimpGameStudio,Single-player;Steam Achievements;Family Sharing,Adventure;Indie;Simulation,https://store.steampowered.com/app/3823800,public_unreleased,full_details,False,Coming soon,"You are a random person trapped in an empty concrete room under the watchful eye of a camera. The only way out is to risk pressing the forbidden button, after which more buttons appear. Each press brings you closer to the exit or to your demise.","*;, French, German, Simplified Chinese, Korean, Polish, Portuguese - Brazil, Ukrainian, Japanese, Spanish - Latin America;*",2025-07-08
game,Stump,3715310,Tropo,Tropo Games,,Single-player;Steam Achievements;Full controller support;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Family Sharing,Action;Adventure;Indie;Strategy,https://store.steampowered.com/app/3715310,public_unreleased,full_details,False,To be announced,"Sticks in hand, you journey through the labyrinth. Stump is a moving, chaotic, and mystical tower-defense experience.","*;, French;*;*",2025-07-08
game,How to Make an Atomic Bomb in Your Garden,3700980,karahan,karahan,,Single-player;Family Sharing,Adventure;Casual;Indie;Simulation,https://store.steampowered.com/app/3700980,public_unreleased,full_details,False,Coming soon,"An absurd backyard bomb-building simulator. Raise funds, plan your approach, hunt down rare parts, and assemble your atomic masterpiece while staying calm and avoiding suspicion from nosy neighbors and federal agents.",English;French;Italian;German;Simplified Chinese;Traditional Chinese;Japanese;Korean;Portuguese - Portugal;Russian;Turkish,2025-07-08
game,Metamory,3684670,Metamory,Metamory,https://metamory.cc,Playable without Timed Input,Free To Play;Utilities,https://store.steampowered.com/app/3684670,public_unreleased,full_details,False,Coming soon,"Metamory is a service that makes managing your VRChat photos easy! Photos taken in VR are automatically uploaded, allowing you to view and share them anytime, anywhere!",Japanese;English,2025-07-08
game,Rake,3852600,Jeb_1232,Jeb_1232,,Single-player;Multi-player;Co-op;Online Co-op;Playable without Timed Input;Save Anytime;Stereo Sound;Surround Sound;Family Sharing,Indie,https://store.steampowered.com/app/3852600,public_unreleased,full_details,False,Coming soon,"Rake is a First-Person Horror game where you hunt down (or be hunted by) The Rake. Use Trail Cameras, Bear Traps and other tools to assist in hunting it down before it gets to you first.",*;*,2025-07-08
music,The Soundtrack + Artbook of GODPROOF,3854610,Nigel Grimstead,,,,,https://store.steampowered.com/app/3854610,public_unreleased,full_details,False,"Jul 25, 2025",Immerse yourself in the elements that made GODPROOF come to life! Enjoy the game's 16-track album music with an additional 42-page collection of visual art pieces from the artbook PDF.,,2025-07-08
game,Awurda First Wave,3838270,Abdulkerim Yarçın,Abdulkerim Yarçın,,Single-player;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3838270,public_unreleased,full_details,False,Coming soon,Awurda First Wave is an action adventure game. The last remaining human is caught in the middle of a war to save the world from evil creatures. Defeat your enemies with fast and exciting fighting mechanics. Overcome various obstacles and defeat difficult enemies to advance to the next levels.,English,2025-07-08
game,Adorable Adventures,3840230,Wild Sheep Studio,Wild Sheep Studio,,Single-player;Full controller support;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Playable without Timed Input;Save Anytime;Stereo Sound;Subtitle Options;Surround Sound;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3840230,public_unreleased,full_details,False,To be announced,"Adorable Adventures is a cozy third-person exploration game where you play as Boris, a curious baby boar who has to learn how to use his nose to reunite his family after a forest fire.","*;, French;*;, Italian, German, Spanish - Spain, Dutch, Portuguese - Portugal, Simplified Chinese;*",2025-07-08
game,妖刀传,3850410,余愿制作组,余愿制作组,,Single-player;Adjustable Text Size;Custom Volume Controls;Playable without Timed Input;Family Sharing,RPG;Strategy,https://store.steampowered.com/app/3850410,public_unreleased,full_details,False,Coming soon,"Yōko-Densetsu is a narrative - rich text game with tabletop role - playing simulations. In the stormy Middle Earth, northern demons and power - hungry eunuchs run wild. Your choices shape the story. Meet like - minded people on your journey and forge your unique path.",Simplified Chinese,2025-07-08
game,Parallel Convergence,3821890,NYEKO Studio,NYEKO Studio,,Single-player;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime,Casual;Indie;Free To Play,https://store.steampowered.com/app/3821890,public_unreleased,full_details,False,Coming soon,A time travel project. A group of students. A cat that eats too much. Can you rewrite fate without losing what matters most?,*;*,2025-07-08
game,Running Horror,3565900,Amorphous Arts,N/A,https://www.amorphousarts.com,Single-player,Action;Indie;Free To Play,https://store.steampowered.com/app/3565900,public_unreleased,full_details,False,"Jul 14, 2025","A first-person horror game where you must explore a vast labyrinth, evade a relentless demonic Beast, and find trapped survivors to reverse a miscast spell and escape.",*;*,2025-07-08
game,Megan AI,3848530,Chris Z.,Chris Z.,,Single-player;Playable without Timed Input;Family Sharing,Casual;Indie;Simulation;Early Access,https://store.steampowered.com/app/3848530,public_unreleased,full_details,False,Coming soon,"Chat with a lifelike AI companion that runs on your own PC. Type or speak to a MetaHuman avatar powered by on-device language models. Swap GGUF models, tune prompts, and watch the conversation unfold in real time—offline, no cloud required",*;*,2025-07-08
music,Warden's Will Soundtrack,3844460,ELYZIO,ELYZIO,,,,https://store.steampowered.com/app/3844460,public_unreleased,full_details,False,Coming soon,Warden's Will Official Soundtrack,,2025-07-08
game,Mazzy,3852740,YLGames,Shepherd Games,,Single-player,Casual;Indie;RPG;Strategy;Free To Play,https://store.steampowered.com/app/3852740,public_unreleased,full_details,False,To be announced,"Mazzy is a pixel-style casual puzzle game built around the core concept of rotating the level. Rotate the level, collect the items, and reshape the maze to reach the goal. Simple and fun.",*;*,2025-07-08
