type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,followers,wishlists_est,wishlist_rank,discovery_date
game,Tester Wanted,3899420,Mr_Bloodjack,Mr_Bloodjack,,Single-player;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Keyboard Only Option;Stereo Sound;Subtitle Options;Family Sharing,Casual,https://store.steampowered.com/app/3899420,public_unreleased,full_details,False,Coming soon,"Help an incompetent game developer test out a bunch of game ideas he came up with in a desperate attempt to make it big. Don’t worry, everything will totally go according to plan! He’ll be keeping an eye on your progress anyway.",*;*,3,42,,2025-07-25
game,Dominated by: Yandere Goth Femdom Girlfriend,3896870,Bully Revenge Studios,Bully Revenge Studios,,Single-player;Steam Achievements;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Family Sharing,Indie;Simulation,https://store.steampowered.com/app/3896870,public_unreleased,full_details,False,"Aug 7, 2025","Experience a day in the life of a hyper-masochist being bullied by his hyper-sadistic, yandere, goth girlfriend.",English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Indonesian;Japanese;Korean;Norwegian;Polish;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian;Vietnamese,2,24,,2025-07-25
game,Stuck in a loop,3869190,FromGate,FromGate,,Single-player;Full controller support;Family Sharing,Indie;Strategy,https://store.steampowered.com/app/3869190,public_unreleased,full_details,False,Coming soon,"Stuck in a Loop is an innovative puzzle game where you don’t control the character… you program it. At each level, analyze the situation, plan the right instructions, and let the robot execute the plan. Thinking, logic, and creativity: your best allies to break the loop!","*;, French;*;*",1,12,,2025-07-25
game,Brew or Die,3893830,Crooked Road,LT-Games,,Single-player;Custom Volume Controls;Keyboard Only Option;Mouse Only Option;Stereo Sound;Family Sharing,Adventure;Indie;RPG;Early Access,https://store.steampowered.com/app/3893830,public_unreleased,full_details,False,Coming soon,"Brew or Die – an RPG game with TBS elements, where potion brewing is a matter of life, duty, and... possible wealth!",English;French;Italian;German;Spanish - Spain;Portuguese - Brazil;Russian,2,24,,2025-07-25
game,封神演义沙盘模拟器,3895300,GUO CHENGHAO,GUO CHENGHAO,,Single-player;Custom Volume Controls;Playable without Timed Input;Save Anytime;Family Sharing,Action;Indie;Simulation,https://store.steampowered.com/app/3895300,public_unreleased,full_details,False,Coming soon,"Command gods and armies in this unique blend of strategy and epic battles! Based on 'The Investiture of the Gods', build cities, train armies, and lead 2,000 soldiers in massive real-time battles. Expand your territory, develop your economy, and unite ancient China in your legendary conquest!",Simplified Chinese,1,11,,2025-07-25
game,Tales of Justice Academy: Winds Arise,3834880,九芽川 Ninth Leaf,九芽川 Ninth Leaf,,Single-player;Steam Achievements;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Playable without Timed Input;Save Anytime;Steam Cloud;Family Sharing,Adventure;Casual;Indie;RPG;Simulation;Strategy,https://store.steampowered.com/app/3834880,public_unreleased,full_details,False,Q1 2026,"You can play as a young martial artist entering Justice Academy. Train through various courses, customize your build with different weapons, skills, and inner techniques. Explore the jianghu, bond with companions, and shape your fate across branching stories and three romanceable heroines.",English;Japanese;Simplified Chinese;Traditional Chinese,11,132,,2025-07-25
game,Dungeon Cleaners,3756600,Baguette Games,Baguette Games,,Multi-player;Co-op;Online Co-op;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3756600,public_unreleased,full_details,False,Coming soon,They came; they died. Now it's your job to clean up their mess.,"*;, French;*;*",1,11,,2025-07-25
dlc,TerraScape Ancient Egypt,3868750,Bitfall Studios,Stray Fawn;INSTINCT3,https://terrascape.de/,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Co-op;Online Co-op;LAN Co-op;Downloadable Content;Steam Achievements;Full controller support;Adjustable Text Size;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Playable without Timed Input;Save Anytime;Stereo Sound;Surround Sound;Touch Only Option;Steam Cloud;Steam Leaderboards;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3868750,public_unreleased,full_details,False,Q4 2025,"Expand your kingdom-building adventure in TerraScape Ancient Egypt! Master the sands by crafting irrigation systems to nourish the land, then raise mighty monuments under the desert sun. Discover new resources and mechanics as you lead your settlement to pharaonic glory. Will your legacy endure?",English;German;French;Italian;Spanish - Spain;Dutch;Japanese;Korean;Polish;Portuguese - Brazil;Russian;Simplified Chinese,,,,2025-07-25
game,Sea Hotel : Fish Scales,3864070,LionHead,LionHead,,Single-player;Steam Cloud;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3864070,public_unreleased,full_details,False,Coming soon,"Experience the laid‑back joy of fishing in **Sea Hotel: Fish Scales**! Run your very own floating houseboat, explore uniquely themed ocean zones, and fully customize both your vessel and your character. Climb aboard now and embark on a deep‑sea fishing adventure that’s as stylish as it is relaxing!",English;Simplified Chinese,1,14,,2025-07-25
game,Another Shoplifting Simulator,3897440,Adam Kormos,Adam Kormos,,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Custom Volume Controls;Playable without Timed Input;Stats;Steam Leaderboards;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3897440,public_unreleased,full_details,False,2026,"Pocket snacks. Dodge guards. Profit. Sneak your way through the store as the shoplifter to make enough money, with the goal doubling daily in this casual FPS simulator!",*;*,1,14,,2025-07-25
game,Pseudo World,3577440,Professional Bad Guys,Professional Bad Guys,,Single-player;Full controller support;Family Sharing,Action;Adventure;Indie;RPG,https://store.steampowered.com/app/3577440,public_unreleased,full_details,False,April 2026,"Roll your own story in Pseudo World, a third-person, endless-world ARPG with procedurally generated quests. Recruit any NPC into your party, for better or worse, and be the ""hero"" that Lan Redic needs!",English,1,11,,2025-07-25
demo,Desktown Demo,3898960,Deskteam,Deskteam,,Single-player;Game demo;Custom Volume Controls;Save Anytime;Steam Cloud,Casual;Indie;Simulation,https://store.steampowered.com/app/3898960,public_unreleased,full_details,False,July 2025,"A minimalist city-builder that sits on the bottom of your screen! Gather resources, set timers, and decorate your town while you do other activities.","*;, French;*;, German;*;, Spanish - Spain;*;, Indonesian;*;, Japanese;*;, Korean;*;, Portuguese - Brazil;*;, Russian;*;, Simplified Chinese;*;*",,,,2025-07-25
game,XETTER 2020,3609670,Ken'ichi Kuromusha,Ken'ichi Kuromusha,https://xetter.com/,Single-player;Partial Controller Support,Action;Free To Play,https://store.steampowered.com/app/3609670,public_unreleased,full_details,False,Coming soon,"Collect all the dots to clear each of the 30 action-puzzle scenes. Dodge two types of enemies, drop blocks to crush them, and avoid being crushed yourself. Use limited lives wisely, restart levels when needed, and unlock cleared scenes for replay. Can you beat them all?",English,2,22,,2025-07-25
game,Nakuma,3875920,Vision Interactive,Vision Interactive,,Single-player,RPG;Free To Play,https://store.steampowered.com/app/3875920,public_unreleased,full_details,False,"Aug 14, 2025","Nakuma is a singleplayer RPG with focus on grinding for gear and experience points. Obtain a variety of magical spells, upgrade your gear and invest stat-points as you progress!",*;*,1,11,,2025-07-25
game,Barrel Roll,3860590,Barrel Roll,Rubika,,Single-player;Family Sharing,Action;Indie;Strategy,https://store.steampowered.com/app/3860590,public_unreleased,full_details,False,Coming soon,"Barrel Roll is a turn based, roguelike, taking place in a futuristic far west. Gather bullets with special effects, customize your revolver's barrel to create strong synergies and take down as much criminal as you can. Don't forget to reload... If you have to of course !",*;*,6,66,,2025-07-25
game,Open Robot,3795000,Loomeit Studios,Loomeit Studios,https://www.loomeit.com/games/open-robot/,Single-player;Full controller support;Adjustable Text Size;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Subtitle Options;Surround Sound;Family Sharing,Action;Adventure;Indie,https://store.steampowered.com/app/3795000,public_unreleased,full_details,False,Coming soon,"Experience the world of Open Robot in its debut episode. Fight back, explore the island and meet its characters in this quest-driven open world experience.",English,1,11,,2025-07-25
demo,Monitoring All Night Demo,3877490,PICKY / Jamila,Jamila(Single Item),,Single-player;Game demo;Camera Comfort;Custom Volume Controls;Keyboard Only Option;Mouse Only Option,Indie,https://store.steampowered.com/app/3877490,public_unreleased,full_details,False,Coming soon,"""Monitoring All Night"" is a horror-style game with no jump scares, so even those who are not good at horror can play with confidence. Report any unusual events appropriately and survive until the end of your shift! And watch out for the aliens!👽",English;Japanese,,,,2025-07-25
