type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url,detection_stage,api_response_type,discovery_date
game,FEMINIST METEORITE,3843870,SUCCUBUS ZONE,SUCCUBUS ZONE,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3843870/62b3e6f354287a02b3f4494ee172992ce87265f7/header.jpg?t=1751653968,https://succubus-zone.blogspot.com/,Single-player;Steam Achievements;Keyboard Only Option;Mouse Only Option;Playable without Timed Input;Save Anytime;Family Sharing,Action;Adventure;Casual;RPG,https://store.steampowered.com/app/3843870,public_unreleased,full_details,2025-07-04
game,Life Coach,3845170,Akusan;Greg Morton;Piero Ramirez;Maria Rincones;Will Tinoco,Self,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3845170/c96c6171a4830c74fc9887dcd7a065be9a455387/header.jpg?t=1751655599,,Single-player;Family Sharing,Adventure;Casual;Indie;RPG;Simulation;Strategy,https://store.steampowered.com/app/3845170,public_unreleased,full_details,2025-07-04
game,PUNCH CHAMPS,2975930,Sharkbowl Games,Sharkbowl Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2975930/header.jpg?t=1751652823,https://sharkbowlgames.com/,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Partial Controller Support;Remote Play Together;Family Sharing,Action;Indie;Sports;Early Access,https://store.steampowered.com/app/2975930,public_unreleased,full_details,2025-07-04
demo,Bside Demo,3856000,Kotoko Inc.,Kotoko Inc.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3856000/ff9ef2cf6349e68c23ab5334e74658b7a5dc3bb3/header.jpg?t=1751652218,https://bside.zone/,Single-player;Multi-player;Game demo,,https://store.steampowered.com/app/3856000,public_unreleased,full_details,2025-07-04
game,ShellMobile: Titan Rampart,3839810,红景天娱乐,红景天娱乐,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3839810/83f7d3124f0c61bc1d7bf373cfe4889f8aa37dc5/header.jpg?t=1751649053,,Single-player;Family Sharing,Casual;Strategy,https://store.steampowered.com/app/3839810,public_unreleased,full_details,2025-07-04
game,Tally & Tails,3855030,Dadbod Games,Dadbod Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3855030/c5188717564fbf93a33361dc2486e1424bfc7a1d/header.jpg?t=1751654979,,Single-player;Full controller support;Steam Cloud;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3855030,public_unreleased,full_details,2025-07-04
game,Poker Crush,2536410,Alexi,Alexi,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2536410/7e17cde826c97aa25c5a86bf046ae0a465d21cff/header.jpg?t=1751653753,https://www.polytechdevelopment.com/,Single-player;Family Sharing,Casual;Indie;Strategy;Free To Play,https://store.steampowered.com/app/2536410,public_unreleased,full_details,2025-07-04
game,Galaxar,3646070,Exhibyte,Exhibyte,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3646070/93a57394487fd174a8b889e02d5fa31da55b3141/header.jpg?t=1751654359,,Single-player;Family Sharing,Action;Indie,https://store.steampowered.com/app/3646070,public_unreleased,full_details,2025-07-04
game,TekRobot,3280490,Tek-Line Games,Tek-Line Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3280490/5b36f6c3cbff4d00afecdfda788a7f209ba6aebf/header.jpg?t=1751654759,,Single-player;Family Sharing,Indie,https://store.steampowered.com/app/3280490,public_unreleased,full_details,2025-07-04
music,LIGHT-BRINGER Soundtrack,3850430,Mared Jurphy,Mared Jurphy,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3850430/0f9550d5fdc88186e9db85878284733ee6726db6/header.jpg?t=1751647125,https://maredjurphy.com,Additional High-Quality Audio,,https://store.steampowered.com/app/3850430,public_unreleased,full_details,2025-07-04
